[91m../../evaluator/evaluate.sh gefoltert-spaced-words.txt[39m
     13 sehr
     13 siehe
     13 t
     13 targeted
     13 Überwachungstechnik
     13 werdet
     14 ab
     14 bestrahlung
     14 dort
     14 gut
     14 habt
     14 letzten
     14 meinen
     14 nachts
     14 polizei
     14 schnell
     14 strahlung
     14 which
     15 anderen
     15 da
     15 dienstag
     15 gegen
     15 löcher
     15 ob
     15 samstag
     15 two
     15 wo
     15 woche
     15 zur
     16 beams
     16 darauf
     16 entfernen
     16 freitag
     16 geheimdienste
     16 geräte
     16 gift
     16 http
     16 lassen
     16 mitarbeiter
     16 ohne
     16 schon
     16 Überwachungsgerät
     16 welches
     17 fünf
     17 ganz
     17 it
     17 kommen
     17 sondern
     17 stellen
     17 will
     17 with
     18 einfach
     18 könnt
     18 uhr
     18 wochen
     19 arbeiten
     19 at
     19 b
     19 dazu
     19 er
     19 for
     19 from
     19 funktioniert
     19 heute
     19 ja
     19 jetzt
     19 mein
     19 meinem
     19 wurde
     19 wurden
     20 devices
     20 eines
     20 einmal
     20 selbst
     20 war
     21 fotos
     21 können
     21 technology
     21 weil
     22 eurer
     22 fall
     22 handy
     22 nachbarn
     22 unter
     22 wirklich
     23 bereits
     23 dies
     23 or
     23 seid
     23 sein
     24 alle
     24 dieser
     24 on
     24 person
     24 pkw
     24 scalar
     24 stark
     25 akzeptiere
     25 drei
     25 dsgvo
     25 inhalte
     25 kein
     25 machen
     25 muss
     25 personenbezogenen
     25 Überwachungsgeräte
     25 widerspreche
     26 artikels
     26 ausdrücklich
     26 be
     26 befindlichen
     26 europäischen
     26 foto
     26 seit
     27 hatte
     27 wieder
     28 denn
     28 s
     28 stunden
     28 zwei
     29 bis
     29 gefoltert
     29 mikrowellen
     30 are
     30 habe
     30 mal
     31 beim
     31 by
     31 daten
     31 datenschutzverordnung
     31 euer
     31 eventuell
     31 geschossen
     31 video
     32 über
     32 Überwachung
     33 haben
     33 that
     33 this
     33 zum
     34 lesen
     36 haarp
     36 immer
     36 kommentare
     36 vor
     36 wohnung
     37 am
     37 durch
     38 blogthis
     38 facilidad
     38 mail
     38 pinterest
     38 ser
     38 tag
     38 versenden
     38 you
     39 eingestellt
     39 per
     39 surveillance
     39 teilen
     39 twitter
     40 dann
     40 eure
     40 links
     40 meiner
     40 your
     41 diese
     41 einer
     41 facebook
     41 keine
     41 mich
     42 artikel
     42 is
     42 posts
     43 meine
     43 nur
     43 zone
     45 can
     45 hier
     45 mehr
     47 de
     47 was
     48 dieses
     49 noch
     50 als
     50 nach
     50 vom
     51 e
     51 einen
     52 diesen
     52 für
     52 mir
     53 aber
     54 des
     56 energy
     57 bei
     59 and
     59 Überwacher
     60 einem
     60 kann
     65 sind
     65 wird
     66 of
     67 sie
     67 werden
     68 staatsschutz
     69 auch
     69 hat
     70 to
     72 so
     74 aus
     76 freigeben
     77 wenn
     81 eine
     83 also
     84 wie
     85 post
     86 a
     86 euch
     88 diesem
     88 sich
     91 um
     94 an
     94 dass
     94 dem
     94 ein
     97 im
    106 oder
    107 man
    127 es
    132 ihr
    136 nicht
    161 das
    165 den
    172 von
    173 the
    175 auf
    177 mit
    183 ist
    187 ich
    207 zu
    318 und
    372 der
    407 die
    407 in
    567 
